iter	Passed	Remaining
788	6404	1712
789	6410	1704
790	6416	1695
791	6423	1686
792	6428	1678
793	6434	1669
794	6440	1660
795	6447	1652
796	6454	1643
797	6461	1635
798	6468	1627
799	6475	1618
800	6481	1610
801	6487	1601
802	6494	1593
803	6500	1584
804	6508	1576
805	6516	1568
806	6523	1560
807	6531	1552
808	6538	1543
809	6544	1535
810	6552	1526
811	6558	1518
812	6563	1509
813	6570	1501
814	6577	1492
815	6582	1484
816	6588	1475
817	6596	1467
818	6603	1459
819	6609	1450
820	6617	1442
821	6622	1433
822	6628	1425
823	6634	1417
824	6642	1408
825	6648	1400
826	6654	1392
827	6661	1383
828	6669	1375
829	6677	1367
830	6683	1359
831	6689	1350
832	6696	1342
833	6702	1334
834	6709	1325
835	6719	1318
836	6726	1309
837	6733	1301
838	6739	1293
839	6746	1285
840	6754	1276
841	6760	1268
842	6767	1260
843	6774	1252
844	6780	1243
845	6787	1235
846	6795	1227
847	6801	1219
848	6807	1210
849	6815	1202
850	6822	1194
851	6829	1186
852	6837	1178
853	6846	1170
854	6854	1162
855	6862	1154
856	6872	1146
857	6882	1139
858	6892	1131
859	6899	1123
860	6906	1115
861	6915	1107
862	6925	1099
863	6932	1091
864	6940	1083
865	6947	1075
866	6953	1066
867	6959	1058
868	6966	1050
869	6972	1041
870	6979	1033
871	6985	1025
872	6992	1017
873	6998	1008
874	7004	1000
875	7010	992
876	7017	984
877	7023	975
878	7029	967
879	7036	959
880	7043	951
881	7050	943
882	7058	935
883	7064	927
884	7072	919
885	7080	911
886	7088	903
887	7095	894
888	7102	886
889	7111	878
890	7119	870
891	7126	862
892	7132	854
893	7139	846
894	7146	838
895	7153	830
896	7160	822
897	7165	813
898	7174	806
899	7181	797
900	7187	789
901	7195	781
902	7202	773
903	7211	765
904	7219	757
905	7228	749
906	7236	741
907	7242	733
908	7252	726
909	7274	719
910	7282	711
911	7289	703
912	7297	695
913	7305	687
914	7313	679
915	7321	671
916	7328	663
917	7336	655
918	7343	647
919	7349	639
920	7356	630
921	7363	622
922	7370	614
923	7376	606
924	7384	598
925	7390	590
926	7396	582
927	7402	574
928	7408	566
929	7416	558
930	7424	550
931	7431	542
932	7437	534
933	7446	526
934	7452	518
935	7460	510
936	7469	502
937	7476	494
938	7485	486
939	7493	478
940	7501	470
941	7510	462
942	7519	454
943	7527	446
944	7534	438
945	7542	430
946	7548	422
947	7554	414
948	7561	406
949	7568	398
950	7575	390
951	7583	382
952	7590	374
953	7596	366
954	7602	358
955	7609	350
956	7616	342
957	7624	334
958	7630	326
959	7638	318
960	7645	310
961	7652	302
962	7658	294
963	7664	286
964	7670	278
965	7678	270
966	7687	262
967	7695	254
968	7704	246
969	7710	238
970	7717	230
971	7723	222
972	7730	214
973	7736	206
974	7743	198
975	7751	190
976	7757	182
977	7764	174
978	7770	166
979	7777	158
980	7785	150
981	7792	142
982	7799	134
983	7806	126
984	7812	118
985	7818	111
986	7826	103
987	7832	95
988	7839	87
989	7845	79
990	7852	71
991	7859	63
992	7867	55
993	7873	47
994	7879	39
995	7885	31
996	7892	23
997	7899	15
998	7907	7
999	7916	0
